192.33.90.69 95.211.98.189
128.223.8.112 179.43.146.122
194.29.178.14 84.40.77.85
204.85.191.11 162.245.220.140
200.19.159.34 83.168.200.204
137.148.16.11 38.229.70.54
128.223.8.111 162.213.34.137
129.15.78.30 188.138.9.208
216.48.80.12 144.76.50.37
170.140.119.69 109.239.48.152
160.36.57.172 209.208.79.117
134.197.113.3 209.51.163.25
134.197.113.4 62.210.82.177
165.230.49.114 5.9.6.163
137.189.98.208 62.220.148.94
128.223.8.114 37.187.4.8
157.92.44.103 192.150.94.49
153.90.1.34 198.148.81.167
132.239.17.226 212.83.148.205
192.12.33.100 89.16.176.158
